Headline,Publication Date,URL
Gina Carano sues Disney and Lucasfilm over firing in suit paid for by Elon Musk,2024-02-06T20:51:07Z,https://www.theguardian.com/tv-and-radio/2024/feb/06/gina-carano-sues-disney-mandalorian
SpaceX accused of sexual harassment and discrimination in ex-workers’ suit,2024-02-06T18:45:57Z,https://www.theguardian.com/science/2024/feb/06/spacex-accused-sexual-harassment-discrimination
"Australian journalists abandon X in wake of Elon Musk’s Twitter takeover, survey shows",2024-02-06T05:34:56Z,https://www.theguardian.com/australia-news/2024/feb/06/x-twitter-australia-journalists-leaving-survey-data
Elon Musk acts to move Tesla legal base to Texas after pay package ruling ,2024-02-01T11:12:18Z,https://www.theguardian.com/technology/2024/feb/01/elon-musk-acts-to-move-tesla-legal-base-to-texas-after-pay-package-ruling
Three cheers for the Delaware judge who stood up to Elon Musk,2024-01-31T18:22:25Z,https://www.theguardian.com/business/nils-pratley-on-finance/2024/jan/31/three-cheers-for-the-delaware-judge-who-stood-up-to-elon-musk
"Elon Musk’s $56bn Tesla pay package is too much, judge rules",2024-01-30T23:06:03Z,https://www.theguardian.com/technology/2024/jan/30/elon-musk-tesla-pay-package-too-much-judge-rules
‘Dark forces’: how US corporations turned to courts in fight against unions,2024-01-26T11:00:06Z,https://www.theguardian.com/us-news/2024/jan/26/anti-union-lawsuit-conservative-courts-musk-starbucks-trader-joes
Tesla delivers underwhelming earnings despite Cybertruck launch and high vehicle deliveries,2024-01-25T00:26:56Z,https://www.theguardian.com/technology/2024/jan/24/tesla-earnings-q4-2023
The big idea: should we keep politics out of social media?,2024-01-22T12:30:00Z,https://www.theguardian.com/books/2024/jan/22/the-big-idea-should-we-keep-politics-out-of-social-media
Elon Musk has become the world’s biggest hypocrite on free speech | Trevor Timm,2024-01-15T11:01:28Z,https://www.theguardian.com/commentisfree/2024/jan/15/elon-musk-hypocrite-free-speech
